"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "comment", "blank", "total"
"c:\dev\projects\TCC3\museo-node-typescript\.eslintrc.js", "JavaScript", 0, 0, 0, 29, 0, 1, 30
"c:\dev\projects\TCC3\museo-node-typescript\.prettierrc", "JSON", 0, 0, 10, 0, 0, 1, 11
"c:\dev\projects\TCC3\museo-node-typescript\package.json", "JSON", 0, 0, 39, 0, 0, 1, 40
"c:\dev\projects\TCC3\museo-node-typescript\src\config\config.ts", "TypeScript", 0, 25, 0, 0, 0, 6, 31
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Admin.ts", "TypeScript", 0, 138, 0, 0, 5, 23, 166
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Beacon.ts", "TypeScript", 0, 84, 0, 0, 0, 16, 100
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Coupon\Coupon.ts", "TypeScript", 0, 136, 0, 0, 0, 26, 162
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Coupon\CouponAccess.ts", "TypeScript", 0, 79, 0, 0, 0, 12, 91
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Coupon\CouponType.ts", "TypeScript", 0, 75, 0, 0, 0, 9, 84
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Emblem.ts", "TypeScript", 0, 107, 0, 0, 1, 19, 127
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\MuseumInformation.ts", "TypeScript", 0, 136, 0, 0, 0, 20, 156
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\MuseumPiece.ts", "TypeScript", 0, 119, 0, 0, 0, 21, 140
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Product\Category.ts", "TypeScript", 0, 75, 0, 0, 0, 12, 87
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Product\Product.ts", "TypeScript", 0, 120, 0, 0, 2, 18, 140
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Quiz.ts", "TypeScript", 0, 224, 0, 0, 30, 48, 302
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\SendEmail.ts", "TypeScript", 0, 33, 0, 0, 0, 5, 38
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Ticket.ts", "TypeScript", 0, 78, 0, 0, 0, 12, 90
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\Tour.ts", "TypeScript", 0, 101, 0, 0, 3, 20, 124
"c:\dev\projects\TCC3\museo-node-typescript\src\controllers\User.ts", "TypeScript", 0, 442, 0, 0, 23, 96, 561
"c:\dev\projects\TCC3\museo-node-typescript\src\library\Logging.ts", "TypeScript", 0, 25, 0, 0, 0, 6, 31
"c:\dev\projects\TCC3\museo-node-typescript\src\middleware\Coupon.ts", "TypeScript", 0, 49, 0, 0, 0, 8, 57
"c:\dev\projects\TCC3\museo-node-typescript\src\middleware\Product.ts", "TypeScript", 0, 19, 0, 0, 0, 4, 23
"c:\dev\projects\TCC3\museo-node-typescript\src\middleware\SignUp.ts", "TypeScript", 0, 34, 0, 0, 1, 6, 41
"c:\dev\projects\TCC3\museo-node-typescript\src\middleware\ValidateSchema.ts", "TypeScript", 0, 404, 0, 0, 7, 4, 415
"c:\dev\projects\TCC3\museo-node-typescript\src\middleware\VerifyAdmin.ts", "TypeScript", 0, 30, 0, 0, 3, 5, 38
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Admin.ts", "TypeScript", 0, 28, 0, 0, 0, 5, 33
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Beacon.ts", "TypeScript", 0, 22, 0, 0, 0, 5, 27
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Counter.ts", "TypeScript", 0, 22, 0, 0, 0, 5, 27
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Coupon\Coupon.ts", "TypeScript", 0, 43, 0, 0, 0, 5, 48
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Coupon\CouponAccess.ts", "TypeScript", 0, 18, 0, 0, 0, 5, 23
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Coupon\CouponType.ts", "TypeScript", 0, 18, 0, 0, 0, 5, 23
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Emblem.ts", "TypeScript", 0, 38, 0, 0, 0, 5, 43
"c:\dev\projects\TCC3\museo-node-typescript\src\models\MuseumInformation.ts", "TypeScript", 0, 117, 0, 0, 0, 11, 128
"c:\dev\projects\TCC3\museo-node-typescript\src\models\MuseumPiece.ts", "TypeScript", 0, 54, 0, 0, 0, 5, 59
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Product\Category.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Product\Product.ts", "TypeScript", 0, 52, 0, 0, 0, 5, 57
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Quiz.ts", "TypeScript", 0, 77, 0, 0, 0, 9, 86
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Role.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Ticket.ts", "TypeScript", 0, 32, 0, 0, 0, 5, 37
"c:\dev\projects\TCC3\museo-node-typescript\src\models\Tour.ts", "TypeScript", 0, 27, 0, 0, 0, 4, 31
"c:\dev\projects\TCC3\museo-node-typescript\src\models\User.ts", "TypeScript", 0, 137, 0, 0, 0, 9, 146
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Admin.ts", "TypeScript", 0, 21, 0, 0, 6, 9, 36
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Beacon.ts", "TypeScript", 0, 15, 0, 0, 5, 8, 28
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Coupon\Access.ts", "TypeScript", 0, 24, 0, 0, 5, 8, 37
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Coupon\Coupon.ts", "TypeScript", 0, 26, 0, 0, 13, 13, 52
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Coupon\Type.ts", "TypeScript", 0, 24, 0, 0, 5, 8, 37
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Emblem.ts", "TypeScript", 0, 15, 0, 0, 12, 11, 38
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\MuseumInformation.ts", "TypeScript", 0, 18, 0, 0, 16, 10, 44
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\MuseumPiece.ts", "TypeScript", 0, 20, 0, 0, 13, 12, 45
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Product\Category.ts", "TypeScript", 0, 19, 0, 0, 12, 11, 42
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Product\Product.ts", "TypeScript", 0, 21, 0, 0, 13, 12, 46
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Quiz.ts", "TypeScript", 0, 16, 0, 0, 29, 13, 58
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Ticket.ts", "TypeScript", 0, 15, 0, 0, 12, 11, 38
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\Tour.ts", "TypeScript", 0, 16, 0, 0, 13, 12, 41
"c:\dev\projects\TCC3\museo-node-typescript\src\routes\User.ts", "TypeScript", 0, 39, 0, 0, 19, 18, 76
"c:\dev\projects\TCC3\museo-node-typescript\src\server.ts", "TypeScript", 0, 95, 0, 0, 11, 17, 123
"c:\dev\projects\TCC3\museo-node-typescript\tsconfig.json", "JSON with Comments", 15, 0, 0, 0, 89, 9, 113
"Total", "-", 15, 3636, 49, 29, 348, 674, 4751